Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Group|Background
1904 | | | | | | | | | Official Secrets Act | <h3>Event Summary</h3><p>The Official Secrets Act was implemented to curb press freedom in India.</p><h4>Key Details</h4><ul><li>Designed to suppress activities deemed in opposition to British interests</li><li>Effectively criminalized espionage</li><li>Used to restrict press freedom and political dissent</li></ul><h4>Significance</h4><p>The Act represented increasing British repression and contributed to nationalist grievances.</p> | | | | | | | British |
1904 | | | | | | | | | Indian Universities Act | <h3>Event Summary</h3><p>The Indian Universities Act increased government control over universities.</p><h4>Key Details</h4><ul><li>Aimed to counter nationalist infiltration into national universities</li><li>Increased British government control over higher education</li><li>Restricted academic freedom</li></ul><h4>Significance</h4><p>The Act was seen as an attempt to suppress nationalist influence in educational institutions.</p> | | | | | | | British |
1904 | | | | | | | | | Publication of Desher Katha | <h3>Event Summary</h3><p>Sakharam Ganesh Deuskar's book "Desher Katha" was published and later banned.</p><h4>Key Details</h4><ul><li>The book sold 15,000 copies</li><li>It was eventually banned by British authorities</li><li>Represented nationalist literature of the period</li></ul><h4>Significance</h4><p>The book's popularity and subsequent banning demonstrated both the spread of nationalist ideas and British attempts to suppress them.</p> | | | | | | | Freedom Movement |
1905 | | | | 1909 | | | | | Era of Militant Nationalism | <h3>Event Summary</h3><p>The period from 1905 to 1909 marked the Era of Militant Nationalism in India.</p><h4>Key Details</h4><ul><li>Characterized by more aggressive nationalist tactics</li><li>Led by figures like Tilak, Lajpat Rai, and Aurobindo Ghosh</li><li>Emphasized self-reliance, swaraj, direct action, and mass participation</li><li>Developed in response to British policies and repression</li></ul><h4>Significance</h4><p>This era represented a significant shift in the Indian freedom movement from petitioning to more assertive nationalism.</p> | | | | | | | Freedom Movement |
1903 | 12 | | | | | | | | Origin of Swadeshi Movement | <h3>Event Summary</h3><p>The Swadeshi Movement originated from the anti-partition movement against the British decision to divide Bengal.</p><h4>Key Details</h4><ul><li>Began in December 1903</li><li>Emerged in response to the proposed partition of Bengal</li><li>Initially led by moderate leaders using petitions, meetings, and newspapers</li></ul><h4>Significance</h4><p>This marked the beginning of a significant nationalist movement that would evolve into a broader struggle against British rule.</p> | | | | | | | Freedom Movement |
1905 | 7 | | | | | | | | Partition of Bengal announced | <h3>Event Summary</h3><p>The British announced the actual division of Bengal into Western Bengal (Hindu majority) with Calcutta as capital and Eastern Bengal (Muslim majority) with Dacca as capital.</p><h4>Key Details</h4><ul><li>Western Bengal had a Hindu majority with Calcutta as its capital</li><li>Eastern Bengal had a Muslim majority with Dacca as its capital</li><li>British motive was to weaken Bengali nationalism by dividing the population by language and religion</li><li>Part of the British divide-and-rule policy</li></ul><h4>Significance</h4><p>The partition catalyzed nationalist sentiment and led to the Swadeshi and Boycott Movement.</p> | | | | | | | British |
1905 | 8 | | | | | | | | Boycott Resolution passed | <h3>Event Summary</h3><p>The Boycott Resolution was passed at Calcutta Townhall, marking the formal proclamation of the Swadeshi Movement.</p><h4>Key Details</h4><ul><li>Called for boycott of Manchester cloth and Liverpool salt</li><li>Formally established the Swadeshi Movement</li><li>Represented a shift to more active resistance</li></ul><h4>Significance</h4><p>This resolution marked the beginning of organized economic resistance against British rule through boycott of British goods.</p> | | | | | | | Freedom Movement |
1905 | 10 | | | | | | | | Implementation of Bengal Partition | <h3>Event Summary</h3><p>The partition of Bengal was implemented, triggering public mourning and nationalist demonstrations.</p><h4>Key Details</h4><ul><li>Public observed mourning</li><li>People sang Bande Mataram and Amar Sonar Bangla</li><li>Rakhibandhan day was celebrated as a symbol of unity</li></ul><h4>Significance</h4><p>The implementation of partition intensified the Swadeshi Movement and nationalist resistance.</p> | | | | | | | British |
1905 | | | | | | | | | Congress support for anti-partition movement | <h3>Event Summary</h3><p>The Indian National Congress under Gokhale's leadership supported the anti-partition and Swadeshi Movement.</p><h4>Key Details</h4><ul><li>Led by moderate leader Gokhale</li><li>Represented official Congress endorsement of the movement</li><li>Militants advocated for a nationwide mass struggle for swaraj</li></ul><h4>Significance</h4><p>This support unified different nationalist factions temporarily against the partition.</p> | | | | | | | Freedom Movement |
1905 | | | | 1908 | | | | | Labor strikes | <h3>Event Summary</h3><p>A series of labor strikes occurred involving Bengali clerks, railway workers, and jute mill workers.</p><h4>Key Details</h4><ul><li>Strikes involved various worker groups including Bengali clerks, railway workers, and jute mill workers</li><li>Part of broader resistance during the Swadeshi Movement</li><li>Represented working class participation in nationalist resistance</li></ul><h4>Significance</h4><p>These strikes demonstrated the expansion of the nationalist movement to include labor and working classes.</p> | | | | | | | Freedom Movement |
1905 | | | | | | | | | Victory of Japan over Russia | <h3>Event Summary</h3><p>Japan's victory over Russia in 1905 inspired Indian nationalists.</p><h4>Key Details</h4><ul><li>An Asian power defeated a European power</li><li>Demonstrated that Asian nations could challenge European dominance</li><li>Served as inspiration for Indian nationalists</li></ul><h4>Significance</h4><p>This victory provided a powerful example that European powers were not invincible and that Asian nations could assert themselves.</p> | | | | | | | Freedom Movement |
1906 | | | | | | | | | Declaration of self-government as goal | <h3>Event Summary</h3><p>The Indian National Congress under Dadabhai Naoroji declared self-government or swaraj as its goal.</p><h4>Key Details</h4><ul><li>Led by Dadabhai Naoroji</li><li>First time swaraj was mentioned as an official goal</li><li>Aimed for self-government similar to the colonies of Australia and Canada</li><li>Represented a compromise between moderate and extremist factions</li></ul><h4>Significance</h4><p>This declaration marked a significant shift in Congress goals toward greater autonomy and self-rule.</p> | | | | | | | Freedom Movement |
1906 | | | | | | | | | Establishment of National Council of Education | <h3>Event Summary</h3><p>The National Council of Education was established, founding the Bengal National College and Bengal Technical Institute.</p><h4>Key Details</h4><ul><li>Raja Subodh Mullick donated ₹100,000 for national schools</li><li>Bengal National College had Aurobindo Ghosh as Principal and Rashbehari Ghosh as President</li><li>Education was delivered through vernacular medium</li><li>Part of the Swadeshi National Education Movement</li></ul><h4>Significance</h4><p>This represented an effort to create an alternative educational system independent of British control.</p> | | | | | | | Socio-Religious Reforms |
1906 | | | | | | | | | Formation of All-India Muslim League | <h3>Event Summary</h3><p>The All-India Muslim League was formed as an anti-Congress front.</p><h4>Key Details</h4><ul><li>Established as a separate political organization for Muslims</li><li>Supported by Nawab Salimullah who favored the partition of Bengal</li><li>Created as an anti-Congress political front</li></ul><h4>Significance</h4><p>The formation of the Muslim League represented growing communal divisions in Indian politics and the success of British divide-and-rule policy.</p> | | | | | | | Freedom Movement |
1906 | | | | | | | | | Simla Deputation | <h3>Event Summary</h3><p>The Simla Deputation demanded separate electorates for Muslims.</p><h4>Key Details</h4><ul><li>Muslim leaders presented demands to Viceroy Minto</li><li>Called for separate Muslim electorates</li><li>Gopal Krishna Gokhale presented Congress demands separately</li></ul><h4>Significance</h4><p>This deputation laid the groundwork for separate Muslim representation in future constitutional reforms.</p> | | | | | | | Constitutional Development |
1907 | | | | | | | | | Surat Split | <h3>Event Summary</h3><p>The Indian National Congress split at the Surat session over movement tactics.</p><h4>Key Details</h4><ul><li>Division occurred between Moderates and Extremists</li><li>Extremists wanted Nagpur session with Tilak as president</li><li>Moderates moved meeting to Surat and proposed Rashbehari Ghosh as President</li><li>Both sides adopted rigid positions making compromise impossible</li><li>Moderates retained control of Congress organization</li></ul><h4>Significance</h4><p>The split weakened the nationalist movement at a critical juncture and represented fundamental ideological differences about methods of resistance.</p> | | | | | | | Freedom Movement |
1907 | | | | | | | | | Establishment of Indian Society of Oriental Art | <h3>Event Summary</h3><p>The Indian Society of Oriental Art was established by Abanindra Nath Tagore.</p><h4>Key Details</h4><ul><li>Founded by Abanindra Nath Tagore</li><li>Revolutionized Indian art beyond Victorian influences</li><li>Part of the cultural renaissance during the nationalist movement</li></ul><h4>Significance</h4><p>This represented the cultural dimension of the nationalist movement and efforts to revive indigenous artistic traditions.</p> | | | | | | | Socio-Religious Reforms |
1907 | | | | 1911 | | | | | Enactment of repressive laws | <h3>Event Summary</h3><p>The British government enacted five repressive laws targeting anti-government activity.</p><h4>Key Details</h4><ul><li>Laws included: Seditious Meetings Act, Indian Newspapers Act, Incitement to Offences Act, Criminal Law Amendment Act, and Indian Press Act</li><li>Aimed at suppressing nationalist activities</li><li>Part of government response to growing militant nationalism</li></ul><h4>Significance</h4><p>These laws represented the repressive aspect of British "carrot and stick" policy and aimed to crush the nationalist movement.</p> | | | | | | | British |
1908 | | | | | | | | | Decline of Swadeshi Movement | <h3>Event Summary</h3><p>The Swadeshi Movement fizzled out due to various factors.</p><h4>Key Details</h4><ul><li>Decline factors included government repression, organizational failure, leadership arrests/deportation</li><li>Key leaders like Aurobindo Ghosh and Bipin Chandra Pal retired from active politics</li><li>Internal conflicts including the Surat Split weakened the movement</li><li>Limited class reach and theoretical resistance contributed to decline</li></ul><h4>Significance</h4><p>Despite its decline, the movement marked a turning point in the Indian freedom struggle by expanding beyond politics to culture and industry.</p> | | | | | | | Freedom Movement |
1909 | | | | | | | | | Morley-Minto Reforms | <h3>Event Summary</h3><p>The Indian Councils Act 1909, known as the Morley-Minto Reforms, was implemented.</p><h4>Key Details</h4><ul><li>Established separate electorates for Muslims with excess representation</li><li>Created Imperial Legislative Council with 69 members (37 officials, 32 non-officials)</li><li>Introduced indirect elections</li><li>Expanded legislative powers at central and provincial levels</li><li>Allowed questions and voting on budget items but not on budget as whole</li><li>Introduced parliamentary forms without responsibility</li></ul><h4>Significance</h4><p>The reforms aimed to divide nationalists through separate electorates and rally Moderates and Muslims against rising nationalism, while explicitly rejecting self-government and parliamentary system.</p> | | | | | | | Constitutional Development |
1909 | | | | 1914 | | | | | Imprisonment of Tilak | <h3>Event Summary</h3><p>Bal Gangadhar Tilak was imprisoned for sedition based on his writings in Kesari newspaper.</p><h4>Key Details</h4><ul><li>Imprisoned for seditious writings in his newspaper Kesari</li><li>Served a six-year sentence</li><li>Part of British repression of Extremist leaders</li></ul><h4>Significance</h4><p>Tilak's imprisonment removed a key Extremist leader from the nationalist movement, contributing to its temporary decline until his release in 1914.</p> | | | | | | | Revolutionary Activities |
1909 | | | | | | | | | Appointment of Satyendra Sinha to Viceroy's executive council | <h3>Event Summary</h3><p>Satyendra Sinha became the first Indian appointed to the Viceroy's executive council.</p><h4>Key Details</h4><ul><li>First Indian to hold this position</li><li>Part of the Morley-Minto Reforms</li><li>Represented a limited concession to Indian representation</li></ul><h4>Significance</h4><p>This appointment was part of the "carrot" in the British carrot and stick policy, designed to placate Moderate nationalists.</p> | | | | | | | Constitutional Development |
1911 | | | | | | | | | Annulment of Bengal Partition | <h3>Event Summary</h3><p>The partition of Bengal was annulled and the capital was shifted to Delhi.</p><h4>Key Details</h4><ul><li>Bengal partition of 1905 was reversed</li><li>Capital shifted from Calcutta to Delhi</li><li>Bihar and Orissa were separated from Bengal</li><li>Assam was made a separate province</li></ul><h4>Significance</h4><p>The annulment represented a victory for the anti-partition movement, though it came with administrative reorganization that maintained some division.</p> | | | | | | | British |
1870 | | | | | | | | 1870s | Inactive Secret Societies in Bengal | <h3>Event Summary</h3><p>Secret societies existed in Bengal in the 1870s but remained inactive.</p><h4>Key Details</h4><ul><li>These societies were precursors to later revolutionary movements</li><li>They did not engage in significant activities during this period</li></ul> | | | | | | | Revolutionary Activities |
1879 | | | | | | | | | Ramosi Peasant Force by Vasudev Phadke | <h3>Event Summary</h3><p>Vasudev Phadke formed the Ramosi Peasant Force to lead an armed revolt against British rule.</p><h4>Key Details</h4><ul><li>The group aimed to disrupt British communication lines</li><li>The revolt was permanently suppressed by British authorities</li></ul> | | | | | | | Revolutionary Activities |
1890 | | | | 1899 | | | | 1890s | Tilak Promotes Militant Nationalism | <h3>Event Summary</h3><p>Bal Gangadhar Tilak promoted militant nationalism through festivals and journals in Maharashtra.</p><h4>Key Details</h4><ul><li>Tilak used festivals as a platform for nationalist messaging</li><li>He published nationalist ideas through the journals Kesari and Maharatta</li></ul> | | | | | | | Freedom Movement |
1897 | | | | | | | | | Chapelkar Brothers Assassinate British Officials | <h3>Event Summary</h3><p>The Chapelkar brothers assassinated Plague Commissioner of Poona Rand and Lt. Ayerst.</p><h4>Key Details</h4><ul><li>This was one of the early revolutionary assassinations in Maharashtra</li><li>The assassination targeted British officials responsible for plague control measures</li></ul> | | | | | | | Revolutionary Activities |
1902 | | | | | | | | | First Revolutionary Groups Formed in Bengal | <h3>Event Summary</h3><p>The first revolutionary groups were established in Bengal.</p><h4>Key Details</h4><ul><li>Jnanendranath Basu formed a revolutionary group in Midnapore</li><li>Promotha Mitter established the Anushilan Samiti in Calcutta</li></ul> | | | | | | | Revolutionary Activities |
1904 | | | | | | | | | Savarkar's Mitra Mela Merges with Abhinav Bharat | <h3>Event Summary</h3><p>Savarkar's organization Mitra Mela merged with Abhinav Bharat, inspired by Mazzini's Young Italy.</p><h4>Key Details</h4><ul><li>The merged organization became a significant revolutionary group in Maharashtra</li><li>It was inspired by the Italian revolutionary movement led by Giuseppe Mazzini</li></ul> | | | | | | | Revolutionary Activities |
1905 | | | | | | | | | Shyamji Krishnavarma Establishes Indian Home Rule Society | <h3>Event Summary</h3><p>Shyamji Krishnavarma established the Indian Home Rule Society (India House) in London and began publishing The Indian Sociologist.</p><h4>Key Details</h4><ul><li>India House became a center for revolutionary activities abroad</li><li>Savarkar and Hardayal later joined this organization</li><li>The Indian Sociologist served as a platform for revolutionary ideas</li></ul> | | | | | | | Revolutionary Activities |
1906 | | | | | | | | | Yugantar Weekly Advocates Violence | <h3>Event Summary</h3><p>The Yugantar weekly newspaper began advocating violence after police brutalities, promoting the idea that "Force must be stopped by force."</p><h4>Key Details</h4><ul><li>The publication became an important voice for revolutionary ideology</li><li>It responded specifically to police brutality against protesters</li><li>The paper promoted armed resistance against British rule</li></ul> | | | | | | | Revolutionary Activities |
1907 | | | | 1917 | | | | 1907-1917 | First Phase of Revolutionary Activities | <h3>Event Summary</h3><p>The first phase of revolutionary activities in India spanned from 1907 to 1917, coinciding with the Swadeshi and Boycott Movement.</p><h4>Key Details</h4><ul><li>This phase was characterized by individual heroic actions</li><li>Revolutionaries adopted methods including assassinations, revolutionary training, fundraising dacoities, and military conspiracies</li><li>Their goals were to terrorize rulers, remove fear of authority, and inspire patriotic youth</li></ul> | | | | | | | Revolutionary Activities |
1907 | | | | | | | | | Assassination Attempt on Lt. Governor Sir Andrew Fuller | <h3>Event Summary</h3><p>The Yugantar group attempted to assassinate Lt. Governor Sir Andrew Fuller.</p><h4>Key Details</h4><ul><li>This was one of the early assassination attempts by Bengali revolutionaries</li><li>The attempt was made by members associated with the Yugantar newspaper group</li></ul> | | | | | | | Revolutionary Activities |
1907 | | | | | | | | | Attempts to Derail Lt. Governor Fraser's Train | <h3>Event Summary</h3><p>Revolutionaries attempted to derail the train of Lt. Governor Fraser.</p><h4>Key Details</h4><ul><li>This was another early revolutionary attempt targeting a high British official</li><li>The attack focused on sabotaging transportation infrastructure</li></ul> | | | | | | | Revolutionary Activities |
1907 | | | | | | | | | Ban on Political Meetings in Punjab | <h3>Event Summary</h3><p>The British government banned political meetings in Punjab and deported Lajpat Rai and Ajit Singh.</p><h4>Key Details</h4><ul><li>This action effectively suppressed extremism in Punjab temporarily</li><li>The deportation of key leaders weakened the movement</li></ul><h4>Significance</h4><p>This crackdown led to the decline of Punjab Extremism.</p> | | | | | | | British |
1908 | | | | | | | | | Kingsford Bombing Kills British Women | <h3>Event Summary</h3><p>A bombing intended for Kingsford accidentally killed unintended British women victims.</p><h4>Key Details</h4><ul><li>The bombing was linked to Anushilan Samiti members</li><li>This incident led to the Alipore Conspiracy Case</li></ul> | | | | | | | Revolutionary Activities |
1908 | | | | | | | | | Alipore Conspiracy Case | <h3>Event Summary</h3><p>British authorities prosecuted Anushilan Samiti members in the Alipore Conspiracy Case following the Kingsford bombing.</p><h4>Key Details</h4><ul><li>Aurobindo Ghosh was acquitted in the case</li><li>Barindra Ghosh (head of the secret society of revolutionaries) and Ullaskar Dutt (maker of bombs) were given death penalties that were later commuted</li></ul> | | | | | | | Revolutionary Activities |
1908 | | | | | | | | | Barrah Dacoity | <h3>Event Summary</h3><p>The Dacca Anushilan conducted the Barrah dacoity to raise funds for revolutionary activities.</p><h4>Key Details</h4><ul><li>The dacoity (armed robbery) was specifically carried out to fund revolutionary operations</li><li>It was organized by the Dacca branch of Anushilan Samiti</li></ul> | | | | | | | Revolutionary Activities |
1909 | | | | 1910 | | | | 1909-1910 | Assassinations of British Officials | <h3>Event Summary</h3><p>Revolutionaries assassinated a public prosecutor and deputy superintendent.</p><h4>Key Details</h4><ul><li>These assassinations targeted British officials in the judicial and police systems</li><li>They were part of the ongoing revolutionary campaign against British authority</li></ul> | | | | | | | Revolutionary Activities |
1909 | | | | | | | | | Assassination of Jackson | <h3>Event Summary</h3><p>Jackson, the Nasik Collector, was killed by Kanhare of Abhinav Bharat.</p><h4>Key Details</h4><ul><li>Savarkar was identified as the conspiracy leader</li><li>Savarkar was sentenced to transportation for life as a result</li></ul> | | | | | | | Revolutionary Activities |
1909 | | | | | | | | | Madanlal Dhingra Assassinates Curzon-Wyllie | <h3>Event Summary</h3><p>Madanlal Dhingra assassinated Curzon-Wyllie in London.</p><h4>Key Details</h4><ul><li>Dhingra was associated with India House in London</li><li>He was hanged at the age of 26</li><li>In court, Dhingra made a statement justifying his actions as patriotic resistance against British occupation</li></ul> | | | | | | | Revolutionary Activities |
1912 | | | | | | | | | Delhi Conspiracy Trial | <h3>Event Summary</h3><p>Rashbehari Bose and Sachin Sanyal attempted to bomb Viceroy Hardinge, leading to the Delhi Conspiracy Trial.</p><h4>Key Details</h4><ul><li>Baswant Kumar Biswas, Amir Chand, and Avadh Behari were executed</li><li>Rashbehari Bose escaped to Japan</li></ul> | | | | | | | Revolutionary Activities |
1913 | | | | | | | | | Formation of Ghadr Party | <h3>Event Summary</h3><p>The Ghadr Party was formed in San Francisco with ex-Punjab soldiers and peasants who had migrated to North America.</p><h4>Key Details</h4><ul><li>The party's program included assassinating officials, publishing revolutionary literature, and organizing revolts in British colonies</li><li>It was preceded by the Swadesh Sevak Home in Vancouver and United India House in Seattle</li></ul> | | | | | | | Revolutionary Activities |
1914 | | | | | | | | | Komagata Maru Incident | <h3>Event Summary</h3><p>The Komagata Maru incident occurred when 370 immigrants were denied entry to Canada, inflaming the situation in Punjab.</p><h4>Key Details</h4><ul><li>The incident involved Indian immigrants attempting to enter Canada</li><li>The rejection of these immigrants heightened anti-British sentiment</li><li>This event contributed to revolutionary fervor in Punjab</li></ul> | | | | | | | British |
1915 | | | | | | | | February 1915 | Planned Armed Revolt in Punjab Garrisons | <h3>Event Summary</h3><p>A planned armed revolt in Punjab garrisons was foiled by British authorities.</p><h4>Key Details</h4><ul><li>45 revolutionaries were hanged following the failed revolt</li><li>This was part of the Ghadr movement's activities</li></ul> | | | | | | | Revolutionary Activities |
1915 | | | | | | | | March 1915 | Defense of India Act Passed | <h3>Event Summary</h3><p>The British passed the Defense of India Act to crush the Ghadr movement.</p><h4>Key Details</h4><ul><li>The act allowed British authorities to detain people without trial</li><li>It also enabled censorship of the press</li><li>The legislation was specifically aimed at suppressing revolutionary activities</li></ul> | | | | | | | British |
1915 | | | | | | | | | Rashbehari Bose Escapes to Japan | <h3>Event Summary</h3><p>Rashbehari Bose escaped to Japan after the Delhi Conspiracy Trial.</p><h4>Key Details</h4><ul><li>Bose later formed the Indian National Army (INA)</li><li>His escape allowed him to continue revolutionary activities from abroad</li></ul> | | | | | | | Revolutionary Activities |
1915 | | | | | | | | | German Plot / Zimmerman Plan | <h3>Event Summary</h3><p>During World War I, Indian revolutionaries planned an all-India insurrection with German arms support.</p><h4>Key Details</h4><ul><li>Bagha Jatin led the Bengal contingent while Rashbehari Bose was assigned Upper India</li><li>The plot was funded through dacoities</li><li>The revolutionaries aimed to seize Fort William and incite a military mutiny</li><li>The plot was leaked to police and revolutionaries were intercepted at Balasore</li><li>In September 1915, Bagha Jatin was killed in a gunfight, causing the conspiracy to collapse</li></ul> | | | | | | | Revolutionary Activities |
1915 | | | | | | | | | Berlin Committee for Indian Independence Established | <h3>Event Summary</h3><p>The Berlin Committee for Indian Independence was established by Virendranath Chattopadhyay, Bhupendranath Dutta, and Lala Hardayal.</p><h4>Key Details</h4><ul><li>The committee was supported by the German foreign office under the "Zimmerman Plan"</li><li>It aimed to mobilize Indian settlers abroad and send volunteers and arms to India</li><li>The goal was to incite rebellion among Indian troops and organize an armed invasion</li><li>Indian revolutionaries sent missions to Baghdad, Paris, Turkey, and Kabul</li></ul> | | | | | | | Revolutionary Activities |
1915 | 2 | 15 | | | | | | February 15, 1915 | Singapore Mutiny | <h3>Event Summary</h3><p>The Singapore Mutiny occurred when Punjabi Muslim and Sikh battalions revolted against British authority.</p><h4>Key Details</h4><ul><li>37 mutineers were executed following the uprising</li><li>This was one of the military revolts connected to the broader revolutionary movement</li></ul> | | | | | | | Revolutionary Activities |
1917 | 8 | | | | | | | August 1917 | Montagu's Statement and Decline of Revolutionary Activities | <h3>Event Summary</h3><p>Revolutionary activities temporarily declined following Montagu's August 1917 statement.</p><h4>Key Details</h4><ul><li>Prisoners held under Defence of India Rules were released</li><li>An atmosphere of conciliation developed</li><li>Constitutional reforms were discussed</li><li>Gandhi's entry with his non-violence program contributed to the shift away from revolutionary methods</li></ul> | | | | | | | Constitutional Development |
1914 |  |  |  | 1919 |  |  |  | 1914-1919 | First World War | <h3>Event Summary</h3><p>The First World War took place from 1914 to 1919, with Britain, France, Russia, USA, Italy, and Japan fighting against Germany, Austria-Hungary, and Turkey.</p><h4>Key Details</h4><ul><li>Indian troops were reduced to 15,000 during the war</li><li>The war created possibilities for German/Turkish aid to Indian independence movements</li><li>The war exposed the myth of white superiority by revealing European vulnerability</li></ul><h4>Significance</h4><p>The war provided an opportunity for various Indian political factions to respond differently - moderates supported the empire, extremists supported Britain in exchange for promised self-government, and revolutionaries saw it as an opportunity to fight against British rule.</p> |  |  |  |  |  |  | Wars |
1893 |  |  |  |  |  |  |  |  | Annie Besant arrives in India | <h3>Event Summary</h3><p>Annie Besant arrived in India in 1893 and later expanded her activities to include the home rule movement.</p><h4>Key Details</h4><ul><li>Besant would later become a key leader in the Home Rule League Movement</li><li>She established her own Home Rule League in September 1916</li><li>She used newspapers like New India and Commonweal to campaign for self-government</li></ul> |  |  |  |  |  |  | Freedom Movement |
1914 |  |  |  |  |  |  |  |  | Revival of political activity by Tilak and Besant | <h3>Event Summary</h3><p>In 1914, Tilak and Besant independently revived political activity after the 1914 Congress session failed to reconcile Moderates and Extremists.</p><h4>Key Details</h4><ul><li>Tilak had been released in June 1914 and made conciliatory gestures</li><li>Tilak wanted Irish-style reforms rather than overthrow of the government</li><li>This revival eventually led to the formation of separate Home Rule Leagues</li></ul> |  |  |  |  |  |  | Freedom Movement |
1914 | 6 |  |  |  |  |  |  | June 1914 | Release of Tilak from prison | <h3>Event Summary</h3><p>Tilak was released from prison in June 1914 and subsequently made conciliatory gestures toward political reform.</p><h4>Key Details</h4><ul><li>After his release, Tilak advocated for Irish-style reforms</li><li>He denounced support for overthrowing the government</li><li>He later established his own Home Rule League in April 1916</li></ul> |  |  |  |  |  |  | Nationalist Leaders |
